month,cadastre_raw_level,cadastre_smooth_level,cadastre_raw_abs_change,cadastre_raw_pct_change,cadastre_smooth_abs_change,cadastre_smooth_pct_change
2014-06-01,273590.9090909091,273562.1212121212,0,0,62.12121212121565,2.2713423079046002e-4
2014-07-01,273659.0909090909,273613.63636363635,68.18181818176527,2.4921083236395525e-4,51.515151515137404,1.8831244357553345e-4
2014-08-01,273659.0909090909,273636.36363636365,0,0,22.727272727293894,8.306337735697333e-5
2014-09-01,273718.1818181818,273678.78787878784,59.09090909094084,2.1592890955912658e-4,42.424242424196564,1.550387596898073e-4
2014-10-01,273750,273709.0909090909,31.818181818176527,1.1624431233192567e-4,30.303030303039122,1.1072480457086087e-4
2014-11-01,273763.63636363635,273743.9393939394,13.636363636353053,4.981320049801674e-5,34.84848484850954,1.2731942783772432e-4
2014-12-01,273809.0909090909,273774.24242424243,45.45454545452958,1.6603573088924684e-4,30.303030303039122,1.1069845188216298e-4
2015-01-01,273745.45454545453,273772.72727272724,-63.63636363635305,-2.3241143464258762e-4,-1.5151515151956119,-5.534309954757788e-6
2015-02-01,274031.8181818182,273862.1212121212,286.36363636364695,0.0010460945802337474,89.39393939397996,3.265260944160797e-4
2015-03-01,274081.818181818,273953.0303030302,49.99999999982538,1.8246056363668828e-4,90.90909090900095,3.3195204399438794e-4
2015-04-01,274150,274087.8787878787,68.1818181819981,2.4876446980059974e-4,134.84848484850954,4.92232134462478e-4
2015-05-01,274195.45454545453,274142.4242424242,45.45454545452958,1.6580173428604184e-4,54.54545454547042,1.9900717531440293e-4
2015-06-01,274250,274198.48484848486,54.54545454547042,1.9892909835395045e-4,56.06060606066603,2.0449445654247e-4
2015-07-01,274268.1818181818,274237.8787878788,18.181818181823473,6.629651114620216e-5,39.393939393921755,1.4366942769838964e-4
2015-08-01,274290.9090909091,274269.69696969696,22.727272727293894,8.28651452626783e-5,31.818181818176527,1.1602402249755173e-4
2015-09-01,274350,274303.03030303033,59.09090909088263,2.15431525917964e-4,33.33333333337214,1.2153487498500759e-4
2015-10-01,274404.54545454547,274348.48484848486,54.54545454547042,1.9881703862023592e-4,45.45454545452958,1.657092355280554e-4
2015-11-01,274459.0909090909,274404.54545454547,54.54545454541221,1.9877751826258283e-4,56.060606060607824,2.0434086264975448e-4
2015-12-01,274490.9090909091,274451.51515151514,31.818181818234734,1.1593050794145299e-4,46.969696969666984,1.7116952961493404e-4
2016-01-01,274559.0909090909,274503.0303030303,68.18181818176527,2.483937206065878e-4,51.515151515137404,1.8770219390740195e-4
2016-02-01,274654.54545454547,274568.1818181818,95.45454545458779,3.476648510836178e-4,65.15151515154867,2.373435188660622e-4
2016-03-01,274718.1818181818,274643.9393939394,63.63636363635305,2.3169601482853075e-4,75.7575757575687,2.7591534917092986e-4
2016-04-01,274768.1818181818,274713.63636363635,50,1.820046990304025e-4,69.69696969696088,2.53772101619143e-4
2016-05-01,274809.0909090909,274765.1515151515,40.90909090905916,1.4888583764816055e-4,51.515151515137404,1.8752309567537928e-4
2016-06-01,274890.9090909091,274822.7272727273,81.81818181823473,2.9772734791122524e-4,57.575757575803436,2.0954534175210426e-4
2016-07-01,274909.0909090909,274869.69696969696,18.181818181765266,6.614194060428069e-5,46.969696969666984,1.7090907086103613e-4
2016-08-01,274950,274916.6666666667,40.90909090911737,1.488095238095788e-4,46.96969696972519,1.7087986594210847e-4
2016-09-01,274968.1818181818,274942.42424242425,18.181818181823473,6.612772570213643e-5,25.757575757568702,9.369230345290802e-5
